"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 01, 2016","41.83","41.44","42.02","41.06","7.89M","2.02%"
"Feb 29, 2016","41.00","40.77","41.34","40.50","5.79M","0.24%"
"Feb 27, 2016","40.90","40.90","40.90","40.90","-","0.07%"
"Feb 26, 2016","40.87","41.50","41.60","40.38","7.47M","-1.18%"
"Feb 25, 2016","41.36","40.76","41.38","40.41","6.94M","1.72%"
"Feb 24, 2016","40.66","40.02","40.83","39.39","6.10M","0.69%"
"Feb 23, 2016","40.38","40.56","40.81","40.17","6.43M","-1.13%"
"Feb 22, 2016","40.84","40.14","40.93","40.07","10.00M","2.72%"
"Feb 19, 2016","39.76","39.16","40.07","39.04","11.05M","0.56%"
"Feb 18, 2016","39.54","39.36","39.68","38.96","9.61M","0.51%"
"Feb 17, 2016","39.34","38.95","39.83","38.87","8.43M","1.89%"
"Feb 16, 2016","38.61","38.13","38.77","37.53","7.15M","2.09%"
"Feb 12, 2016","37.82","36.92","37.98","36.42","9.41M","3.64%"
"Feb 11, 2016","36.49","36.47","37.22","36.17","8.10M","-1.70%"
"Feb 10, 2016","37.12","36.57","37.64","36.53","8.11M","2.57%"
"Feb 09, 2016","36.19","34.93","36.75","34.91","11.14M","1.80%"
"Feb 08, 2016","35.55","36.08","36.16","34.76","12.82M","-3.27%"
"Feb 05, 2016","36.75","37.71","38.49","36.53","10.07M","-3.82%"
"Feb 04, 2016","38.21","37.34","38.60","36.70","8.60M","1.87%"
"Feb 03, 2016","37.51","37.38","37.61","35.76","12.39M","1.30%"
"Feb 02, 2016","37.03","38.83","38.97","37.00","12.40M","-5.97%"
"Feb 01, 2016","39.38","39.00","39.94","38.63","12.02M","1.00%"
"Jan 29, 2016","38.99","37.52","39.09","36.60","20.96M","2.23%"
"Jan 28, 2016","38.14","39.61","39.79","37.66","17.11M","-3.91%"
"Jan 27, 2016","39.69","40.15","40.87","39.48","10.19M","0.13%"
"Jan 26, 2016","39.64","38.73","39.75","38.44","8.10M","1.95%"
"Jan 25, 2016","38.88","40.02","40.16","38.82","10.11M","-3.19%"
"Jan 22, 2016","40.16","40.00","40.72","39.57","7.25M","0.93%"
"Jan 21, 2016","39.79","38.93","40.00","38.02","9.78M","1.87%"
"Jan 20, 2016","39.06","38.53","39.84","36.20","16.09M","0.51%"
"Jan 19, 2016","38.86","39.59","39.78","38.21","10.51M","0.26%"
"Jan 15, 2016","38.76","39.04","39.89","38.37","18.92M","-4.41%"
"Jan 14, 2016","40.55","40.21","40.78","38.86","11.76M","1.12%"
"Jan 13, 2016","40.10","42.17","42.74","39.66","12.72M","-4.52%"
"Jan 12, 2016","42.00","41.15","42.36","40.48","12.64M","2.24%"
"Jan 11, 2016","41.08","40.56","41.20","39.90","15.88M","1.76%"
"Jan 08, 2016","40.37","40.94","41.36","40.26","8.85M","-0.20%"
"Jan 07, 2016","40.45","40.97","41.52","39.68","11.31M","-1.89%"
"Jan 06, 2016","41.23","40.05","41.70","40.00","12.39M","1.75%"
"Jan 05, 2016","40.52","41.18","41.49","39.95","10.51M","-0.95%"
"Jan 04, 2016","40.91","41.29","41.35","40.30","12.04M","-3.40%"
